date,endDate,incompleteResultLabel,resultId,device,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16.1,Q16.2,Q16.3,Q16.4,Q16.5,Q16.6,Q16.7,Q16.8,Q16.9,Q16.10,Q16.11,Q16.12,Q16.13,Q16.14,Q16.15,Q17.1,Q17.2,Q17.3,Q17.4,Q17.5,Q17.6,Q17.7,Q17.7.1,Q18,Q18.1.1,Q19,Q20,Q21,Q22,Q23,Q24,VAR00006,VAR00005,VAR00004,VAR00003,VAR00002,VAR00001,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55,Q56,Q57.1,Q57.2,Q57.3,Q57.4,Q58,Q59,Q60,Q61,Q62,Q63,Q64.1,Q64.2,Q64.3,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72.1,Q72.2,Q72.3,Q72.4,Q72.5,Q72.6,Q72.7,Q72.8,Q72.9,Q72.10,Q72.11,Q72.11.1,Q73.1,Q73.2,Q73.3,Q73.4,Q73.5,Q73.6,Q73.7,Q73.8,Q73.9,Q73.10,Q73.11,Q73.11.1,Q74,Q75,Q76.1,Q76.2,Q76.3,Q76.4,Q76.5,Q76.6,Q76.7,Q76.7.1,Q77,Q78,Q79.1,Q79.2,Q79.3,Q79.4,Q79.5,Q79.6,Q79.7,Q79.7.1,Q80,Q81,Q81.1.1,Q82,Q82.1.1,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q97.1.1,Q98,Q99,Q100.1,Q100.2,Q100.3,Q101,Q101.1.1,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112
2023-11-09T15:25:44Z,2023-11-09T15:45:47Z,False,45987565,aemtablet14,6078,4,6,Empeorado algo,No les alcanza y tienen dificultades,No,,,NA,,,NA,,,NA,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,8,8,8,8,8,5,Satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,6,6,6,9,8,8,7,No,NA,,7,No hubo apagones,No,NA,,9,3,No,NA,,9,8,5,No,NA,,5,No,NA,,8,No hay areas verdes y espacios publicos cerca de mi casa,NA,NA,NA,NA,No cuenta con unidades deportivas,No cuenta con bibliotecas,6,5,No hay espacios para personas con discapacidad en el area,Muchas veces,Poco,Poco,Bastante,la x,NA,No,NA,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Poco,Inseguridad/Violencia,,Corrupcion,,Algo,Sí,policias,sobre borracheras,Muy alta,Gobierno Federal,7,8,5,8,No,No,No,No,Llantas tiradas,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Hombre,,30,30 a 44 anos,Empleado empresa privada,Preparatoria terminada,Si,"$4,373.75 a $6,560.61",,"$4,373.75 a $6,560.61",,hidalgo,Si
2023-11-09T15:55:50Z,2023-11-09T16:10:27Z,False,45987571,aemtablet4,6078,4,8,Igual,"Les alcanza justo, sin grandes dificultades",Sí,8,,Publica,8,,Publica,9,,Publica,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,Selected,NA,Selected,NA,,Médicos de farmacias/genericos,,9,9,9,8,9,9,Algo satisfecho,Satisfecho,Satisfecho,Algo satisfecho,Satisfecho,Satisfecho,8,8,10,10,8,8,7,No,NA,,8,No hubo apagones,No,NA,,9,3,No,NA,,4,8,4,No,NA,,3,No,NA,,7,9,9,5,8,5,No cuenta con unidades deportivas,No cuenta con bibliotecas,No cuenta con centros comunitarios,5,No hay espacios para personas con discapacidad en el area,Nunca,Bastante,Mucho,Mucho,el chamizal,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,Selected,NA,NA,NA,NA,NA,NA,NA,,Sí,6,NA,NA,NA,NA,Selected,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Inseguridad/Violencia,,Corrupcion,,Poco,No,,,Media,Gobierno Estatal,7,9,4,6,Sí,No,No,No,Terrenos baldios,,No recodo sin apoyo visual,Sí recordó con apoyo visual,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Mujer,,46,45 a 59 anos,Hogar,Preparatoria incompleta,No,NA,,"$2,186.88 a $4,373.74",,Hidalgo,Si
2023-11-09T16:36:19Z,2023-11-09T16:55:18Z,False,45987573,aemtablet4,6078,4,8,Empeorado mucho,No les alcanza y tienen dificultades,No,,,NA,,,NA,,,NA,Sí,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,Selected,NA,NA,,Servicio medico privado/particulares,,10,10,10,10,10,10,Muy satisfecho,Algo satisfecho,Satisfecho,Muy satisfecho,NA,Muy satisfecho,10,5,10,10,10,10,7,No,NA,,1,No hubo apagones,Si,Si,9,8,3,No,NA,,8,8,8,No,NA,,8,No,NA,,8,9,10,10,10,1,No cuenta con unidades deportivas,No cuenta con bibliotecas,No cuenta con centros comunitarios,1,8,Nunca,Bastante,Bastante,Bastante,la casa dbjuan Gabriel,NA,No,NA,NA,NA,Si,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Selected,NA,NA,Selected,NA,NA,NA,NA,NA,NA,NA,,Sí,5,NA,Selected,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Mucho,Inseguridad/Violencia,,Inseguridad/Violencia,,Nada,No,,,Media,Iglesias,8,9,7,9,No,Sí,No,Sí,Calles sucias/basura en calles,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,55,45 a 59 anos,Hogar,Secundaria terminada,Si,"$2,186.88 a $4,373.74",,"$0.00 a $2,186.87",,partido romero,Si
2023-11-09T16:15:02Z,2023-11-09T16:32:57Z,False,45987574,aemtablet4,6078,4,8,Igual,No les alcanza y tienen dificultades,Sí,6,libros,Publica,8,,Publica,8,,Publica,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,Sí,NA,NA,NA,Selected,NA,NA,NA,,Médicos de farmacias/genericos,,8,8,8,8,10,9,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,7,6,8,9,9,6,7,Si,Si,7,6,Solo hubo un apagon,Si,Si,6,9,3,No,NA,,6,6,6,No,NA,,3,No,NA,,5,8,7,8,8,8,8,7,8,6,6,Nunca,Bastante,Bastante,Bastante,la X,1,Sí,NA,NA,1,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,Selected,NA,NA,NA,Selected,NA,NA,NA,,Sí,5,NA,Selected,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Inseguridad/Violencia,,Calles y pavimentación,,Nada,No,,,Muy alta,Iglesias,7,5,7,8,No,No,No,Sí,Terrenos baldios,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Hombre,,63,60 anos o más,Cuenta propia/Autoempleador,Preparatoria terminada,No,NA,,"$4,373.75 a $6,560.61",,Hidalgo,Si
2023-11-09T16:55:58Z,2023-11-09T17:08:36Z,False,45987575,aemtablet4,6078,4,8,Igual,"Les alcanza justo, sin grandes dificultades",Sí,9,,Publica,8,,Publica,10,,Publica,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,Sí,No,Sí,Sí,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,8,8,9,10,10,10,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,10,10,10,10,10,9,7,No,NA,,10,No hubo apagones,No,NA,,10,3,No,NA,,8,8,8,No,NA,,2,No,NA,,9,8,8,8,8,6,10,10,No cuenta con centros comunitarios,6,No hay espacios para personas con discapacidad en el area,Nunca,Mucho,Mucho,Mucho,los burritos,1,Sí,1,NA,2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Selected,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Inseguridad/Violencia,,Calles y pavimentación,,Nada,No,,,Media,Gobierno Federal,6,6,5,6,No,Sí,No,Sí,Terrenos baldios,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Hombre,,44,45 a 59 anos,Empleador/empresario,Preparatoria incompleta,Si,"$2,186.88 a $4,373.74",,"$6,560.62 a $8,747.48",,partido romero,Si
2023-11-10T10:15:04Z,2023-11-10T10:24:56Z,False,45991258,aemtablet14,350,4,6,Igual,"Les alcanza justo, sin grandes dificultades",No,,,NA,,,NA,,,NA,Sí,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,6,7,8,6,8,8,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,8,8,8,9,9,8,7,No,NA,,7,No hubo apagones,No,NA,,8,3,No,NA,,8,8,5,No,NA,,8,No,NA,,8,10,5,8,8,8,8,No cuenta con bibliotecas,No cuenta con centros comunitarios,8,No hay espacios para personas con discapacidad en el area,Nunca,Algo,Bastante,Mucho,los burros,1,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Economia/Crisis,,Drogadiccion,,Nada,No,,,Alta,Iglesias,8,8,10,7,No,Sí,No,Sí,Terrenos baldios,,Sí recordo sin apoyo visual,NA,Parcialmente de acuerdo,Totalmente de acuerdo,Parcialmente de acuerdo,Mujer,,77,60 anos o más,Jubilado/Pensionado,Universidad incompleta,No,NA,,"$0.00 a $2,186.87",,alamps d san Lorenzo,Si
2023-11-10T10:17:34Z,2023-11-10T10:25:41Z,False,45991268,aemtablet13,350,4,1,Empeorado algo,"Les alcanza justo, sin grandes dificultades",Sí,10,,Publica,,,NA,10,,Publica,Sí,Sí,No,No,NA,No,Sí,No,NA,No,NA,NA,NA,NA,NA,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,10,6,7,9,,10,Satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,10,10,7,7,10,9,7,No,NA,,10,Solo hubo un apagon,No,NA,,10,3,No,NA,,10,6,8,No,NA,,9,No,NA,,6,9,10,10,8,9,9,9,9,6,10,Nunca,Mucho,Mucho,Mucho,la rodadora,1,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Mucho,Transporte publico,,Desempleo,,Nada,No,,,Alta,Gobierno Federal,7,6,4,5,Sí,Sí,No,Sí,Basureros/tiraderos clandestinos (en casas/terrenos),,Sí recordo sin apoyo visual,NA,NS/NC,Totalmente en desacuerdo,NS/NC,Mujer,,55,45 a 59 anos,Empleado empresa privada,Universidad terminada,Si,"$4,373.75 a $6,560.61",,"$4,373.75 a $6,560.61",,segunda burocrata,Si
2023-11-10T11:10:10Z,2023-11-10T11:19:37Z,False,45991362,aemtablet6,350,4,9,Igual,"Les alcanza justo, sin grandes dificultades",No,,,NA,,,NA,,,NA,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,NA,NA,NA,NA,Selected,NA,NA,,Servicio medico privado/particulares,,9,9,9,9,9,9,Muy satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Satisfecho,10,10,10,10,10,9,7,No,NA,,10,No hubo apagones,No,NA,,9,3,No,NA,,9,9,9,No,NA,,9,No,NA,,8,10,8,8,8,8,8,8,8,8,No hay espacios para personas con discapacidad en el area,Nunca,Bastante,Bastante,Bastante,monumento,2,No,NA,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Drogadiccion,,Drogadiccion,,Nada,No,,,Media,Gobierno Federal,9,9,9,9,Sí,No,Sí,No,Calles sucias/basura en calles,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,46,45 a 59 anos,Empleado empresa privada,Universidad terminada,Si,"$6,560.62 a $8,747.48",,"$6,560.62 a $8,747.48",,,Si
2023-11-10T11:34:02Z,2023-11-10T11:50:13Z,False,45991363,aemtablet6,350,4,9,Igual,"Les alcanza justo, sin grandes dificultades",No,,,NA,,,NA,,,NA,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,7,8,8,7,7,8,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Muy satisfecho,10,9,9,9,10,10,7,No,NA,,7,Casi todos los dias,No,NA,,7,3,No,NA,,7,7,7,No,NA,,7,No,NA,,7,7,6,6,6,6,No cuenta con unidades deportivas,6,6,8,8,Algunas veces,Poco,Poco,Poco,plszs de toros,1,Sí,1,NA,NA,Si,NA,NA,NA,NA,NA,Selected,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,Selected,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Corrupcion,,Drogadiccion,,Nada,No,,,Alta,Gobierno Municipal,8,8,8,8,No,Sí,No,No,Calles sucias/basura en calles,,No recodo sin apoyo visual,Sí recordó con apoyo visual,Parcialmente de acuerdo,Parcialmente de acuerdo,Parcialmente de acuerdo,Mujer,,52,45 a 59 anos,Empleado empresa privada,Secundaria terminada,Si,"$4,373.75 a $6,560.61",,"$4,373.75 a $6,560.61",,,Si
2023-11-10T11:20:52Z,2023-11-10T11:33:59Z,False,45991364,aemtablet6,350,4,9,Igual,No les alcanza y tienen dificultades,No,,,NA,,,NA,,,NA,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,Selected,NA,NA,,Servicio medico privado/particulares,,8,8,8,8,8,8,Satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,9,9,9,9,7,7,7,No,NA,,9,No hubo apagones,No,NA,,8,3,No,NA,,8,8,8,No,NA,,8,No,NA,,8,8,7,7,7,7,8,8,8,8,8,Nunca,Algo,Algo,Algo,monumento,NA,No,NA,NA,NA,Si,Selected,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,,Selected,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Desempleo,,Drogadiccion,,Nada,No,,,Media,Gobierno Municipal,8,8,8,8,No,Sí,No,Sí,Basureros/tiraderos clandestinos (en casas/terrenos),,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,63,60 anos o más,Empleado empresa privada,Primaria terminada,Si,"$0.00 a $2,186.87",,"$0.00 a $2,186.87",,,Si
2023-11-10T10:48:34Z,2023-11-10T11:05:31Z,False,45991365,aemtablet6,350,4,9,Mejorado algo,"Les alcanza justo, sin grandes dificultades",No,,,NA,,,NA,,,NA,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,Selected,NA,,Médicos de farmacias/genericos,,8,9,8,9,8,9,Satisfecho,Algo satisfecho,Poco satisfecho,Satisfecho,Muy satisfecho,Satisfecho,9,7,7,10,8,7,7,No,NA,,8,Solo hubo un apagon,No,NA,,7,2,No,NA,,8,8,7,No,NA,,7,No,NA,,8,8,8,8,8,8,7,8,No cuenta con centros comunitarios,7,7,Nunca,Bastante,Bastante,Nada,nonumento,1,No,NA,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Inseguridad/Violencia,,Inseguridad/Violencia,,Nada,No,,,Muy alta,La misma ciudadanía,8,7,7,7,No,No,No,Sí,Basureros/tiraderos clandestinos (en casas/terrenos),,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Hombre,,27,18 a 29 anos,Empleado empresa privada,Universidad incompleta,Si,"$2,186.88 a $4,373.74",,"$2,186.88 a $4,373.74",,,Si
2023-11-10T09:46:51Z,2023-11-10T09:57:52Z,False,45991585,aemtablet23,350,4,7,Mejorado mucho,Les alcanza bien y pueden ahorrar,No,,,NA,,,NA,,,NA,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,9,9,9,7,9,7,Algo satisfecho,Algo satisfecho,Satisfecho,Algo satisfecho,Satisfecho,Satisfecho,10,10,10,10,10,10,7,No,NA,,10,No hubo apagones,No,NA,,7,2,No,NA,,9,10,9,No,NA,,5,No,NA,,10,8,8,7,5,7,10,8,No cuenta con centros comunitarios,7,No hay espacios para personas con discapacidad en el area,Nunca,Algo,Algo,Algo,la x,2,No,NA,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Inseguridad/Violencia,,Pobreza,,Nada,No,,,Muy alta,Gobierno Estatal,5,9,5,7,No,Sí,Sí,No,Basureros/tiraderos clandestinos (en casas/terrenos),,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,33,30 a 44 anos,Empleado empresa privada,Universidad terminada,No,NA,,"$4,373.75 a $6,560.61",,vicente,Si
2023-11-10T12:26:10Z,2023-11-10T12:38:28Z,False,45992102,aemtablet14,6078,4,6,Empeorado algo,"Les alcanza justo, sin grandes dificultades",No,,,NA,,,NA,,,NA,Sí,Sí,No,Sí,No,No,No,No,Sí,Sí,No,No,No,No,No,NA,NA,Selected,NA,NA,NA,NA,,IMSS Bienestar,,8,8,8,7,8,10,Satisfecho,Satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,7,8,6,5,8,9,7,No,NA,,4,No hubo apagones,No,NA,,7,3,No,NA,,6,5,7,No,NA,,4,No,NA,,8,9,7,8,8,6,7,No cuenta con bibliotecas,No cuenta con centros comunitarios,6,8,No sabe/ NC,Nada,Nada,Nada,la x,NA,Sí,NA,NA,1,Si,NA,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,Selected,NA,NA,NA,Selected,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Ns/Nc,Inseguridad/Violencia,,Servicios basicos,,Ns/Nc,No,,,Media,Gobierno Municipal,7,6,5,4,No,No,No,Sí,Calles sucias/basura en calles,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Hombre,,36,30 a 44 anos,Empleado empresa privada,Secundaria terminada,Si,"$0.00 a $2,186.87",,"$0.00 a $2,186.87",,yoya,Si
2023-11-10T11:51:08Z,2023-11-10T12:04:13Z,False,45992104,aemtablet14,350,4,6,Empeorado algo,"Les alcanza justo, sin grandes dificultades",No,,,NA,,,NA,,,NA,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,Sí,No,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,8,8,9,8,10,10,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,Satisfecho,10,10,6,10,10,10,7,No,NA,,8,Solo hubo un apagon,No,NA,,7,3,No,NA,,9,6,8,No,NA,,6,No,NA,,5,10,8,8,8,5,No cuenta con unidades deportivas,No cuenta con bibliotecas,No cuenta con centros comunitarios,8,No hay espacios para personas con discapacidad en el area,Pocas veces,Bastante,Algo,Algo,parque central,1,Sí,NA,NA,2,Si,NA,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Mucho,Drogadiccion,,Inseguridad/Violencia,,Nada,No,,,Baja,Iglesias,8,9,6,7,No,No,No,Sí,Basureros/tiraderos clandestinos (en casas/terrenos),,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Hombre,,70,60 anos o más,Jubilado/Pensionado,Secundaria incompleta,No,NA,,"$0.00 a $2,186.87",,joya,Si
2023-11-10T12:10:36Z,2023-11-10T12:24:25Z,False,45992106,aemtablet14,350,4,6,Empeorado algo,No les alcanza y tienen dificultades,No,,,NA,,,NA,,,NA,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,No,Sí,No,Sí,Sí,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,8,5,4,8,10,7,Satisfecho,Satisfecho,Muy satisfecho,Satisfecho,Satisfecho,Muy satisfecho,10,8,8,10,5,8,7,No,NA,,5,No hubo apagones,No,NA,,8,3,No,NA,,7,5,9,No,NA,,5,No,NA,,8,5,4,1,5,10,No cuenta con unidades deportivas,No cuenta con bibliotecas,No cuenta con centros comunitarios,9,No hay espacios para personas con discapacidad en el area,Muchas veces,Nada,Algo,Nada,la x,2,Sí,NA,NA,1,Si,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Selected,NA,NA,NA,NA,NA,,Sí,8,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Nada,Corrupcion,,Corrupcion,,Nada,No,,,Media,Gobierno Municipal,10,10,5,8,No,No,Sí,No,Llantas tiradas,,No recodo sin apoyo visual,Sí recordó con apoyo visual,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Hombre,,18,18 a 29 anos,Empleado empresa privada,Primaria incompleta,Si,"$0.00 a $2,186.87",,"$0.00 a $2,186.87",,joya,Si
2023-11-10T12:45:57Z,2023-11-10T12:57:28Z,False,45992390,aemtablet10,350,4,8,Igual,"Les alcanza justo, sin grandes dificultades",Sí,8,,Publica,10,,Publica,10,,Publica,Sí,No,No,Sí,No,No,No,No,Sí,No,No,No,No,No,No,NA,NA,NA,NA,Selected,NA,NA,,Servicio medico privado/particulares,,5,5,7,5,8,8,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,8,8,5,8,8,8,7,No,NA,,8,Al menos una vez al mes,No,NA,,8,3,No,NA,,8,8,5,No,NA,,1,No,NA,,5,1,1,1,1,1,No cuenta con unidades deportivas,No cuenta con bibliotecas,No cuenta con centros comunitarios,1,No hay espacios para personas con discapacidad en el area,Pocas veces,Algo,Algo,Poco,la x,1,No,NA,NA,NA,Si,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Poco,Calles y pavimentación,,Inseguridad/Violencia,,Poco,No,,,Media,La misma ciudadanía,5,5,1,1,No,Sí,No,No,Terrenos baldios,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,43,30 a 44 anos,Cuenta propia/Autoempleador,Carrera técnica terminada,No,NA,,"$2,186.88 a $4,373.74",,la joya,Si
2023-11-10T11:55:49Z,2023-11-10T12:06:39Z,False,45992392,aemtablet10,350,4,8,Igual,No les alcanza y tienen dificultades,No,,,NA,,,NA,,,NA,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,Selected,NA,NA,NA,NA,NA,NA,,IMSS,,8,8,10,10,8,9,Muy satisfecho,Muy satisfecho,Muy satisfecho,Muy satisfecho,Satisfecho,Muy satisfecho,9,10,10,10,10,8,7,Si,Si,8,10,Solo hubo un apagon,No,NA,,10,3,No,NA,,8,8,8,No,NA,,8,No,NA,,8,8,8,8,8,8,No cuenta con unidades deportivas,No cuenta con bibliotecas,No cuenta con centros comunitarios,8,No hay espacios para personas con discapacidad en el area,Nunca,Bastante,Bastante,Bastante,la X,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,Selected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Mucho,Drenaje pluvial,,Servicios basicos,,Mucho,No,,,Media,Iglesias,8,8,8,8,Sí,Sí,No,Sí,Calles sucias/basura en calles,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,70,60 anos o más,Jubilado/Pensionado,Primaria incompleta,No,NA,,"$2,186.88 a $4,373.74",,las palmas,Si
2023-11-10T12:34:43Z,2023-11-10T12:45:31Z,False,45992393,aemtablet10,350,4,8,Mejorado algo,No les alcanza y tienen dificultades,No,,,NA,,,NA,,,NA,Sí,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,NA,NA,NA,Selected,Selected,NA,NA,,Servicio medico privado/particulares,,8,8,7,7,8,7,Algo satisfecho,Poco satisfecho,Algo satisfecho,Algo satisfecho,Algo satisfecho,Algo satisfecho,8,8,9,8,9,8,7,No,NA,,7,Al menos una a la semana,Si,Si,8,7,3,No,NA,,7,7,7,Si,Si,7,5,No,NA,,7,7,7,8,5,5,No cuenta con unidades deportivas,No cuenta con bibliotecas,No cuenta con centros comunitarios,7,No hay espacios para personas con discapacidad en el area,Algunas veces,Bastante,Bastante,Bastante,el trabajo,1,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Selected,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,No,,NA,NA,NA,NA,NA,NA,NA,,Algo,Inseguridad/Violencia,,Falta de valores,,Algo,No,,,Media,Empresas,8,8,5,8,No,Sí,Sí,Sí,Parques sucios/descuidados,,No recodo sin apoyo visual,No recordó con apoyo visual,NA,NA,NA,Mujer,,66,60 anos o más,Hogar,Primaria terminada,Si,"$4,373.75 a $6,560.61",,"$8,747.49 a $10,934.35",,joya,Si
